repo	literal_tree_sitter_matches	api_evidence_matches	grammar_asset_paths	scm_paths	tags_scm_paths	feature_file_count	indexing_feature_files	testing_feature_files	cgc_runs	cgc_complete_runs	cgc_error_or_incomplete_runs
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/SrGaabriel__tree-sitter-soma	161	4	4	1	0	11	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Stoica-Mihai__recast	177	52	0	0	0	8	1	1	1	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Swastik-Gupta30__DevContext	11	4	0	0	0	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/TabbyML__tabby	126	42	0	0	0	62	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/The-PR-Agent__pr-agent	0	7	0	0	0	4	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/TheYoxy__tree-sitter-coda	143	4	4	1	0	9	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Tomatio13__repo-map-skill	35	3	0	0	0	61	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/TrySita__AutoDocs	149	5	0	0	0	19	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/UserNobody14__tree-sitter-dart	243	237	5	2	1	12	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/ValdezFOmar__tree-sitter-format-string	133	3	4	1	0	7	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/ViperJuice__Code-Index-MCP	834	612	0	0	0	16	1	1	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/VoidNxSEC__cerebro	128	0	0	0	0	18	0	1	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/WardBrian__tree-sitter-stan	202	7	8	3	1	18	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/WhatsApp__tree-sitter-erlang	158	4	3	1	0	8	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Wilfred__difftastic	1360	117	22	9	0	68	0	0	1	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Wilfred__tree-sitter-elisp	118	3	5	2	1	10	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/WillGAndre__rs-tree-sitter-ast	43	0	1	0	0	4	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Xattaus__claude-brain	85	2	0	0	0	2	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/YPYT1__EverMind	0	0	0	0	0	6	1	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Zaenalos__tree-sitter-lua	197	5	4	1	0	10	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/aMOPel__tree-sitter-nim	66	2	4	2	0	11	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/abhigyanpatwari__GitNexus	2058	280	8	2	1	69	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/abiriadev__tree-sitter-melody	90	2	3	1	0	8	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/acp-protocol__acp-cli	71	313	0	0	0	4	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/acristoffers__tree-sitter-matlab	242	6	11	8	1	25	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/adamdelezuch89__repo-map-mcp	0	0	0	0	0	0	1	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/addcninblue__tree-sitter-cooklang	111	2	2	0	0	7	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/adsouza5__lens-api	20	1	0	0	0	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/afnanenayet__diffsitter	289	784	0	0	0	4	1	1	1	1	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/agentic-research__ley-line-open	431	191	0	0	0	44	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/aheber__tree-sitter-sfapex	261	95	19	6	1	29	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/ahlinc__tree-sitter-plantuml	7	0	1	0	0	2	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/airbus-cert__tree-sitter-powershell	205	5	4	1	0	9	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/aishasurve2007__codebase-agent	10	2	0	0	0	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/ajankurjain__central-code-knowledge-graph	93	214	0	0	0	6	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/ajeetdsouza__loxcraft	19	0	0	0	0	5	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/alaviss__tree-sitter-nim	196	4	4	1	0	9	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/albatrossSKY__tokenmin	33	10	0	0	0	2	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/albfan__rust-tree-sitter-ast-viewer	1288	660	9	0	0	40	0	1	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/alemuller__tree-sitter-make	18	0	3	1	0	5	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/alessandrobrunoh__Semantic-Delta-Protocol	41	27	0	0	0	2	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/alex-pinkus__tree-sitter-swift	236	9	7	4	1	17	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/alexmozaidze__tree-sitter-fennel	36	0	3	0	0	9	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/alexpovel__srgn	213	8	0	0	0	3	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/anatolykoptev__ox-codes	255	176	0	0	0	6	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/aorwall__moatless-tools	67	22	0	0	0	5	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/apple__tree-sitter-pkl	210	4	6	3	0	11	0	0	1	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/aptos-labs__tree-sitter-move-on-aptos	221	55	3	0	0	8	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/arborist-ts__arborist.nvim	502	0	787	787	0	1183	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/arborist-ts__registry	364	0	0	0	0	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/arnarg__tree-sitter-todotxt	41	2	3	1	0	5	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/aryan877__repochat	71	1	0	0	0	13	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/asgerf__dts-tree-sitter	39	22	0	0	0	3	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/ast-grep__ast-grep	482	171	0	0	0	54	0	0	1	1	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/asumbek__tree-sitter-teal	178	4	3	0	0	7	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/audityzer-org__audityzer-rust-analyzer	7	5	0	0	0	2	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/aws-samples__sample-convert-codebase-to-graphrag	0	0	0	0	0	10	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/awsum-lang__tree-sitter-awsum	138	0	4	1	0	7	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/bakhliustov__askgraph	139	6	0	0	0	2	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/bbfh-dev__tree-sitter-mcfunction	183	4	4	1	0	9	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/bearcove__arborium	1933	1071	298	184	2	334	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/bearcove__tree-sitter-x86asm	47	2	3	1	0	6	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/bennypowers__nvim-regexplainer	72	0	0	0	0	20	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/bennypowers__tree-sitter-handlebars	216	5	4	1	0	9	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/benwilliamgraham__tree-sitter-llvm	173	8	4	1	0	10	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/bezhermoso__tree-sitter-ghostty	243	5	4	1	0	12	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/bilelmoussaoui__gobject-linter	119	423	2	0	0	7	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/biomejs__biome	169	99	0	0	0	237	0	1	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/biomejs__gritql	3474	516	100	43	11	265	0	0	1	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/biomejs__tree-sitter-gritql	80	2	5	2	0	8	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/bonede__tree-sitter-ng	1107	240	0	0	0	5	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/boranesn__docsmith	79	8	0	0	0	2	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/brianp__tree-sitter-aster	48	0	5	2	0	9	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/buzz-language__tree-sitter-buzz	105	0	4	1	0	9	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/bydecom__graphrag-code	28	17	0	0	0	3	0	0	2	1	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/bytecodealliance__tree-sitter-wit	259	5	5	2	0	11	0	0	1	1	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/cUDGk__tree-sitter-mcp	57	1	0	0	0	2	1	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/camdencheek__tree-sitter-dockerfile	118	2	4	1	0	9	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/camdencheek__tree-sitter-go-mod	146	4	4	1	0	10	0	0	1	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/casey__tree-sitter-just	247	6	18	15	0	38	0	0	1	1	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/casouri__tree-sitter-module	42	0	0	0	0	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/cathaysia__tree-sitter-idl	189	3	5	2	0	11	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/cathaysia__tree-sitter-jinja	421	5	10	3	0	20	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/cdeust__automatised-pipeline	250	319	0	0	0	6	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/chanicpanic__tree-sitter-lark	152	4	6	3	0	11	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/chunkhound__chunkhound	1379	122	0	0	0	12	2	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/cline__cline	4	2	0	0	0	78	1	0	1	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/cmillstead__codesight-mcp	287	451	0	0	0	3	1	0	1	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/cocoindex-io__cocoindex-code	1	29	0	0	0	3	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/cocoindex-io__realtime-codebase-indexing	9	0	0	0	0	2	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/coder3101__tree-sitter-proto	188	4	5	2	0	12	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/coderamp-labs__gitingest	0	0	0	0	0	2	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/comby-tools__comby	0	0	0	0	0	3	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/constantitus__tree-sitter-jai	171	4	4	1	0	11	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/continuedev__continue	131	14	0	0	0	124	0	0	1	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/cozodb__cozo	0	3	0	0	0	24	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/cpdally__tree-sitter-visualizer	34	1	0	0	0	2	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/cpkio__tree-sitter-asciidoc	71	0	3	1	0	5	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/crystal-lang-tools__crystal-tree-sitter	218	137	0	0	0	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/crystal-lang-tools__tree-sitter-crystal	213	4	6	3	0	14	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/cshuaimin__ssr.nvim	9	7	0	0	0	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/curlconverter__curlconverter	35	5	0	0	0	2	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/cursorless-dev__vscode-parse-tree	80	1	0	0	0	2	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/cyberNoman__universal-code-review-graph	160	93	0	0	0	7	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/datwaft__tree-sitter-corpus	120	2	4	2	0	9	0	1	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/daun__tree-sitter-latte	42	2	4	2	0	10	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/david-spies__context-condenser	67	1	0	0	0	6	1	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/dchinmay2__nvim-ts-rainbow	20	0	0	0	0	67	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/demirmusa__nanocontext	37	1	0	0	0	4	0	1	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/dgraph-io__dgraph	0	0	0	0	0	19	1	1	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/dhawwal__code-intelligence-ai	14	1	0	0	0	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/disler__aider-mcp-server	59	0	0	0	0	2	1	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/djacobsmeyer__repomap-go	15	1	0	0	0	2	1	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/dlvandenberg__tree-sitter-angular	159	2	5	2	0	12	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/dmtrKovalenko__fff	15	7	0	0	0	28	1	0	1	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/dominiclynchwoodlands-ui__codebaser	137	2	0	0	0	2	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/dondetir__CodeGrok_mcp	94	6	0	0	0	3	1	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/dooosp__ghostcode-auditor	29	11	0	0	0	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/dsully__tree-sitter-pyproject	171	4	4	1	0	9	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/dylan-gluck__tree-sitter-sudolang	77	1	7	4	1	10	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/egibs__tree-sitter-poe	142	4	6	3	0	11	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/egibs__tree-sitter-yara	148	4	6	3	0	11	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/elara-labs__code-context-engine	204	8	0	0	0	3	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/elixir-lang__tree-sitter-elixir	243	4	6	3	1	11	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/elliottt__rules_tree_sitter	114	1	0	0	0	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/emacs-tree-sitter__elisp-tree-sitter	953	129	0	0	0	2	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/emacs-tree-sitter__tree-sitter-langs	330	0	91	91	1	92	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/emacs-tree-sitter__ts-fold	80	0	0	0	0	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/emiasims__tree-sitter-org	70	2	3	1	0	7	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/entrepeneur4lyf__code-graph-mcp	0	0	0	0	0	2	1	0	1	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/er77__code-graph-rag-mcp	612	1	0	0	0	2	1	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/eric050828__graph-codebase-mcp	0	0	0	0	0	1	1	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/ethan-leba__tree-edit	46	0	0	0	0	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/euclidianAce__tree-sitter-teal	197	5	5	2	0	11	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/eventb-rossi__tree-sitter-eventb	148	5	4	1	0	7	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/facebook__rocksdb	0	24	0	0	0	10	0	1	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/facebookincubator__Glean	1	0	0	0	0	19	1	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/fl0w1nd__repomap-mcp	40	1	0	0	0	58	2	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/fluffypony__mcp-code-indexer	54	18	0	0	0	4	1	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/flupkede__codesearch	140	128	0	0	0	3	0	0	1	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/flurie__tree-sitter-jq	67	2	2	0	0	5	0	0	0	0	0
